ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Swan	Are swans and ducks birds of the same family?	Yes.	hard	hard	data/set1/a10
Swan	Are swans and ducks birds of the same family?	Yes	hard	easy	data/set1/a10
Swan	What is the name of an adult female?	Pen.	hard	medium	data/set1/a10
Swan	What is the name of an adult female?	An adult female swan is called a pen.	hard	medium	data/set1/a10
Swan	What is the color of the Australian Black Swan?	Completely black except for the white flight feathers on its wings.	hard	hard	data/set1/a10
Swan	What is the color of the Australian Black Swan?	Completely black except for the white feathers on its wings	hard	medium	data/set1/a10
Tiger	Is the Tiger a member of the Felidar family?	No.	easy	easy	data/set1/a3
Tiger	Is the Tiger a member of the Felidar family?	No	easy	easy	data/set1/a3
Tiger	Are tigers solitary animals?	Yes.	easy	easy	data/set1/a3
Tiger	Are tigers solitary animals?	Yes	easy	easy	data/set1/a3
Tiger	Are panthers a type of tiger?	No.	easy	hard	data/set1/a3
Tiger	Are panthers a type of tiger?	No	easy	hard	data/set1/a3
Tiger	What do tigers' powerfully built legs and shoulders allow tigers to do?	They have the ability to pull down prey substantially heavier than themselves.	medium	medium	data/set1/a3
Tiger	What do tigers' powerfully built legs and shoulders allow tigers to do?	have the ability to pull down prey substantially heavier than themselves	medium	medium	data/set1/a3
Tiger	What would a tiger do when seized by a crocodile?	A tiger will strike at the reptile's eyes with its paws.	medium	medium	data/set1/a3
Tiger	What would a tiger do when seized by a crocodile?	strike at the reptile's eyes with its paws	medium	medium	data/set1/a3
Tiger	What are the typical features of a tiger country?	It will always have good cover, it will always be close to water and plenty of prey.	medium	medium	data/set1/a3
Tiger	What are the typical features of a tiger country?	Good cover, close to water, and plenty of prey 	medium	medium	data/set1/a3
Tiger	Would it be common for tigers to mate in January?	Yes.	hard	hard	data/set1/a3
Tiger	Would it be common for tigers to mate in January?	Yes	hard	medium	data/set1/a3
Tiger	About how many square kilometers would be needed to house 3 female tigers?	60 square kilometers	hard	hard	data/set1/a3
Tiger	About how many square kilometers would be needed to house 3 female tigers?	60	hard	hard	data/set1/a3
Tiger	Would a tiger be likely to feedon smaller animals, such as mice?	Yes	hard	hard	data/set1/a3
Turtle	Is the name of the upper shell of a turtle called the plastron?	No.	easy	hard	data/set1/a4
Turtle	Do scutes fall away from the turtle's shell?	Some of the scutes eventually fall away from the shell.	easy	hard	data/set1/a4
Turtle	Do scutes fall away from the turtle's shell?	yes, eventually	easy	easy	data/set1/a4
Turtle	Do Terrestrial tortoises have short feet?	Yes.	easy	easy	data/set1/a4
Turtle	Do Terrestrial tortoises have short feet?	yes	easy	easy	data/set1/a4
Turtle	How many groups are turtles broken down into?	Two	medium	medium	data/set1/a4
Turtle	How many groups are turtles broken down into?	two	medium	easy	data/set1/a4
Turtle	Where are the only surviving giant tortoises?	They are on the Seychelles and Galápagos Islands.	medium	medium	data/set1/a4
Turtle	Where are the only surviving giant tortoises?	Seychelles and Gal�pagos Islands	medium	easy	data/set1/a4
Turtle	How do turtles chew food?	Turtles use their jaws to cut and chew food.	medium	medium	data/set1/a4
Turtle	How do turtles chew food?	Turtles use their jaws to cut and chew food	medium	easy	data/set1/a4
Turtle	Are tortoises land based?	Yes.	hard	easy	data/set1/a4
Turtle	Are tortoises land based?	yes	hard	easy	data/set1/a4
Turtle	Where are turtle eggs layed?	Turtles lay eggs on land.	hard	hard	data/set1/a4
Turtle	Where are turtle eggs layed?	on land	hard	easy	data/set1/a4
Turtle	Is turtle soup considered a delicacy?	No.	hard	easy	data/set1/a4
Turtle	Is turtle soup considered a delicacy?	yes	hard	hard	data/set1/a4
Turtle	Are Testudines the crown group of the superorder Chelonia?	yes	easy	easy	data/set1/a9
Turtle	Are Testudines the crown group of the superorder Chelonia?	Yes	easy	easy	data/set1/a9
Turtle	Do turtles breathe air?	yes	easy	hard	data/set1/a9
Turtle	Do turtles breathe air?	Yes	easy	easy	data/set1/a9
Turtle	Are harvesting wild turtles legal anywhere?	yes	easy	easy	data/set1/a9
Turtle	Approximately how many species of Testudines are alive today?	300	medium	medium	data/set1/a9
Turtle	Approximately how many species of Testudines are alive today?	300	medium	easy	data/set1/a9
Turtle	Where is harvesting wild turtles legal?	Florida	medium	easy	data/set1/a9
Turtle	Where is harvesting wild turtles legal?	Florida	medium	easy	data/set1/a9
Turtle	What was the largest ever chelonian?	Archelon ischyros	medium	easy	data/set1/a9
Turtle	What was the largest ever chelonian?	The great letherback sea tutrtle	medium	easy	data/set1/a9
Turtle	Is there a way to approximate the age of a turtle?	yes	hard	easy	data/set1/a9
Turtle	Is there a way to approximate the age of a turtle?	Yes	hard	easy	data/set1/a9
Turtle	Can turtles spend all their time underwater?	no	hard	too hard	data/set1/a9
Turtle	Can turtles spend all their time underwater?	No	hard	easy	data/set1/a9
